date,value
2016-04-15,1786807
2014-06-21,189798
2010-08-25,203408
2013-12-13,3992252
2016-05-12,67853
2014-10-25,244288
2012-01-25,35842
2016-02-07,34473
2013-04-22,50039
2016-10-10,149563
2010-11-01,115437
2013-09-22,57210
2015-04-23,223918
2012-07-27,2429141
2014-11-13,70517
2017-02-07,403427
2010-01-07,301710
2011-05-09,42736
2015-09-13,1705740
2014-02-13,4789569
2012-07-16,467107
2010-07-16,638056
2010-12-05,814322
2015-02-20,301581
2011-04-28,2889221
2010-01-09,2177010
2013-12-26,108502
2016-11-16,46027
2016-09-16,49968
2016-01-07,10158973
2012-07-20,682557
2013-02-17,201830
2015-01-11,108278
2016-05-31,172760
2010-03-19,46129
2015-06-05,1076296
2015-09-30,1647714
2012-05-14,2010296
2016-05-21,658770
2012-12-02,223093
2013-06-12,5812736
2010-07-08,35436
2011-01-15,200285
2016-03-04,584516
2012-02-16,129764
2011-01-02,104860
2011-02-08,217905
2011-12-24,5472266
2016-05-20,27678
2016-12-19,2438190
2017-03-15,198923
2013-08-15,202221
2012-06-12,592437
2015-02-22,8300905
2014-07-24,385535
2011-12-16,9875230
2013-12-22,1356022
2012-11-16,317819
2013-10-22,5647373
2010-04-10,404081
2016-11-01,187734
2015-05-13,105250
2011-11-18,58891
2010-06-23,115773
2016-09-06,55851297
2016-07-30,1617027
2015-01-30,36168
2014-01-28,27074
2014-05-01,192855
2017-01-21,822956
2012-08-26,901368
2014-06-16,216748
2016-12-09,87055
2015-03-26,36859
2014-11-14,121361
2012-10-21,400789
2011-07-15,125127
2010-06-14,36362
2016-05-02,72412
2016-09-12,41655
2011-02-14,739581
2016-08-19,384714
2012-02-05,39463
2012-09-24,106646
2014-05-27,447224
2016-08-26,857065
2012-12-21,892871
2013-02-01,61406
2012-03-25,41167
2013-02-14,54109
2010-01-08,109676
2012-11-16,7987897
2016-06-23,37673
2011-12-09,167853
2012-01-25,62503
2013-06-17,1113828
2012-01-18,28356
2010-08-11,255572
2012-04-07,35150
2017-05-03,522482
2015-07-03,381307
2013-06-23,66327
2011-06-01,58427
2011-09-30,287304
2016-10-27,449347
2012-12-24,1500510
2015-07-09,67306
2010-05-05,3262177
2011-02-01,680030
2013-12-08,25105
2013-10-20,87115
2014-12-22,4165292
2012-12-02,289827
2015-11-27,845502
2010-05-01,224982
2016-09-01,373497
2015-03-26,215109
2013-12-13,748132
2016-02-29,66701
2014-06-05,44255930
2015-08-14,110905
2015-08-31,197903
2012-11-25,49907
2012-10-06,233194
2012-12-21,139875
2014-04-16,13192621
2011-11-16,103623
2010-09-29,53762
2013-12-31,629691
2013-04-12,26345
2016-11-30,53683
2015-05-07,3219632
2015-10-06,69802
2013-12-14,599042
2015-06-26,32610
2013-12-17,418455
2013-08-18,38074
2014-12-23,26636
2016-08-09,138110
2015-09-07,654622
2014-07-09,370276
2011-12-18,91093
2015-06-17,66826
2011-11-22,5941919
2014-02-17,7461346
2015-10-29,9317082
2012-10-26,113154
2011-04-05,103590
2014-06-27,27614
2015-10-30,25814
2013-07-22,219023
2012-02-26,3322366
2011-01-12,62071
2016-11-13,58242
2014-05-18,103952
2014-10-28,29845
2017-01-14,40821
2012-11-06,160263
2016-08-05,1837313
2016-08-12,32139
2013-02-11,176001
2017-05-11,889899
2015-12-11,812550
2013-02-16,346644
2014-08-03,426875
2012-05-05,414756
2013-05-01,26218
2015-06-04,2870608
2014-03-09,1203142
2014-02-26,290429
2010-05-14,706631
2016-08-26,1328144
2011-01-21,816916
2013-08-16,69517
2015-04-07,1175011
2016-08-07,449165
2012-02-20,28114
2016-07-03,25842
2013-03-29,266095
2015-05-07,516621
2011-06-26,51760
2013-05-29,114245
2015-06-22,755199
2012-04-05,72669
2012-01-10,26706
2010-04-21,151867
2014-02-12,548331
2012-04-13,599243
2010-07-03,72788
2016-03-18,149768
2015-03-04,81813
2013-07-09,75717
2012-12-12,1348006
2014-07-30,200703
2010-10-22,759674
2011-02-07,49564
2013-03-24,291611
2013-12-02,669482
2016-05-09,118842
2015-03-06,2941352
2012-12-02,380613
2012-02-01,53939
2014-10-24,25461
2013-02-26,28206
2012-01-28,124347
2015-05-22,1786451
2013-07-11,928373
2016-07-09,81728
2014-11-13,4354244
2014-09-01,65189
2017-01-18,67006
2016-07-10,56075
2014-10-08,348134
2012-12-13,961923
2012-03-28,508547
2015-10-10,53469
2013-09-30,47993
2016-02-11,28466
2015-01-27,408163
2016-03-31,558115
2015-11-17,4878680
2011-01-28,171406
2014-11-21,219246
2011-11-04,538048
2014-09-10,1378053
2011-03-26,350723
2014-07-10,570603
2010-12-09,161197
2013-03-03,4046906
2011-09-01,2846418
2013-01-30,137227
2017-03-20,868247
2017-04-25,89287
2016-04-01,3009973
2013-10-18,3319199
2012-04-04,43416
2011-09-28,88074
2016-07-22,7503749
2014-12-31,233448
2016-12-02,7501799
2014-09-29,138518
2013-11-10,1073458
2010-04-17,84399
2012-11-24,89596
2011-10-12,1285415
2013-02-21,115889
2011-01-15,123505
2017-01-13,29789
2013-10-05,212841
2010-10-27,68646
2012-05-10,8514463
2015-01-03,32950
2014-05-26,604170
2011-09-28,44301
2012-12-02,207568
2016-04-08,776666
2013-08-04,1564155
2014-10-04,33866
2011-02-08,41814
2015-10-29,41735
2012-03-15,510212
2013-03-14,2555520
2015-05-22,150292
2012-02-09,2018648
2014-03-09,4370055
2013-07-14,59535
2011-02-13,225781
2011-08-06,741044
2015-01-23,1546790
2011-05-26,163692
2013-12-09,578155
2015-12-17,1754041
2016-02-17,45580
2017-01-31,337869
2011-03-14,66344
2010-10-30,1071834
2012-04-22,1280115
2013-02-02,1078575
2010-12-19,2932350
2017-01-16,50935
2014-11-11,293408
2010-04-12,286736
2016-09-21,2132503
2010-04-26,132213
2010-06-15,46580
2015-10-09,373038
2013-11-15,39812579
2016-01-08,1488626
2014-01-02,2707657
2015-11-15,33171
2016-04-18,83005
2015-03-18,8414293
2016-01-20,407119
2010-07-10,550250
2014-04-04,84760
2014-08-24,339778
2013-08-19,58879
2012-11-30,2978855
2015-06-26,30566
2013-11-21,3022519
2012-08-22,960261
2014-11-21,257423
2013-02-15,6071017
2013-11-04,227077
2016-03-25,531823
2016-05-11,35114
2016-11-18,1533957
2016-02-29,113895
2011-12-20,95429
2010-10-18,406885
2011-02-17,31375
2011-11-22,1085047
2015-01-16,40305
2015-02-02,11139856
2015-12-01,4835006
2014-04-21,634851
2014-11-27,726432
2012-05-23,1607111
2012-01-31,713491
2012-03-18,38211
2012-07-26,100706
2016-07-07,23030677
2012-04-16,44209
2011-01-12,42670
2015-03-07,130225
2014-07-26,323221
2014-12-12,5547014
2017-04-14,1145401
2016-02-18,2680539
2011-04-04,55896
2011-03-04,653981
2011-02-25,126606
2012-03-31,82679
2011-05-16,156188
2010-07-16,149084
2014-02-11,303301
2012-05-03,56001
2014-01-08,48638
2012-01-01,276179
2014-09-30,36771
2016-08-12,463952
2013-06-27,69780
2012-11-24,35939
2013-03-20,248028
2015-07-29,37575
2011-07-26,112817
2017-02-18,2685381
2012-08-04,159142
2016-12-02,238183
2011-09-10,167644
2016-03-25,288667
2010-09-27,197815
2012-06-10,777555
2016-12-17,105344
2014-08-25,95053
2015-09-29,1825537
2012-09-28,120196
2012-10-25,237775
2011-01-01,4386083
2017-03-13,28739
2013-02-12,360389
2016-12-15,3205828
2016-09-17,68610
2010-11-16,125157
2016-01-21,3239497
2011-01-16,158555
2014-10-16,223285
2013-11-01,983428
2013-02-21,209454
2015-06-19,207487
2012-07-23,152663
2015-12-22,88069
2012-04-04,28449
2010-07-02,67507
2014-03-30,35008
2016-01-02,147563
2015-08-18,28916
2014-05-27,219518
2017-04-21,48337
2015-07-26,122263
2015-08-10,1231812
2012-03-04,391933
2010-04-17,159682
2016-03-13,26963
2012-11-25,113545
2016-10-02,361761
2015-02-03,84642
2014-05-09,331892
2014-06-25,57264
2012-03-13,176340
2013-08-07,2624453
2015-01-25,1573007
2011-04-04,1586898
2015-05-20,370144
2012-06-14,1055161
2013-09-13,1233312
2010-07-19,33498
2010-04-30,835651
2015-03-26,1489564
2012-03-18,177541
2015-08-30,195326
2017-01-13,1371846
2015-05-04,25148
2015-03-28,33265
2013-01-08,48903
2016-05-25,33024
2010-06-12,85987
2013-08-20,28715
2012-11-25,52711
2015-04-21,9524689
2015-05-15,2545400
2013-06-21,1749710
2012-07-28,57364
2010-07-13,36396
2016-02-17,396345
2013-02-21,215142
2010-11-24,695793
2013-05-07,6574355
2011-11-03,86296
2017-03-14,28959
2013-02-20,377092
2017-04-09,176623
2012-07-26,92303
2014-04-13,223169
2013-01-03,31901
2010-10-25,37924
2013-08-21,172025
2015-09-03,510237
2012-01-27,912073
2010-10-08,435093
2016-12-02,889010
2010-06-11,73722
2015-06-04,47061
2016-06-03,34582817
2011-09-30,267312
2012-10-24,566401
2016-06-09,36642
2015-11-26,31546
2015-05-22,1808832
2015-12-25,4982171
2015-07-20,46326
2016-04-01,474883
2011-02-16,31213
2014-09-26,32982
2010-09-28,1958919
2012-01-28,114121
2015-12-23,1137751
2013-12-02,1724068
2010-08-14,29109
2014-06-06,25546
2016-12-25,354277
2014-09-24,73287
2010-10-13,8557042
2017-01-07,97993
2014-09-05,109687
2016-07-20,402851
2016-09-22,57314
2013-10-11,2161008
2014-06-23,934739
2015-12-04,776314
2015-01-14,394489
2015-01-18,35426
2011-01-25,79568
2015-05-15,299073
2015-06-26,268691
2016-11-04,1389980
2015-10-27,10796301
2015-09-13,77489
2016-09-02,591350
2013-08-01,67551
2013-04-14,93882
2010-11-08,144352
2017-03-17,5295410
2013-11-21,39212
2010-07-07,137325
2012-08-15,40266
2016-04-03,613308
2013-12-12,1270032
2013-02-03,1606881
2010-10-09,59430
2016-04-21,6301364
2017-03-10,673143
2015-08-27,1739591
2012-10-19,44425
2016-07-28,77473
2014-01-22,4118579
2015-12-19,113166
2011-04-29,4705978
2013-12-23,1106647
2015-01-11,1922242
2012-12-02,175124
2014-09-04,97367
2013-01-28,131072
2013-01-04,36294
2010-01-08,131708
2012-01-28,89166
2013-07-17,43421
2015-09-29,112604
2013-01-22,32202
2013-05-15,60003
2010-04-20,70934
2014-09-12,985987
2016-09-04,1269670
2014-02-07,1102415
2015-02-11,99409
2012-07-27,53206
2014-02-17,36877
2011-08-16,454867
2015-07-24,26840
2016-12-08,1950078
2013-09-13,301572
2016-03-30,82161
2014-08-03,508763
2012-01-28,63783
2014-04-13,791677
2015-08-21,172611
2013-05-14,991457
2011-05-02,1736041
2015-08-10,1004889
2011-04-18,66925
2015-02-01,430865
2015-07-31,171236
2016-09-01,78391
2014-11-27,6769599
2014-07-16,504070
2015-09-12,176564
2016-06-23,4319467
2013-08-13,424197
2015-08-14,248517
2016-06-26,989241
2013-09-12,53180
2013-05-20,43802
2013-04-22,41498
2010-07-08,107339
2014-02-25,405551
2013-12-01,59192
2016-09-22,253059
2010-04-20,29194
2011-06-21,220558
2014-11-07,2614251
2016-09-16,792383
2015-01-30,284484
2013-02-21,67683
2015-09-09,40647
2014-12-07,49991
2015-03-15,76917
2016-05-24,76402
2016-08-05,430706
2012-02-16,902688
2014-01-06,80791
2016-10-28,73622
2012-02-23,1275464
2014-08-08,415517
2015-10-16,467051
2016-07-29,3357839
2014-12-27,1234825
2016-05-22,1907249
2012-10-26,30843
2012-03-25,655376
2016-02-18,48322
2012-12-02,238005
2016-12-10,207830
2010-07-09,31878
2011-08-11,441579
2014-10-06,3599380
2011-04-11,3905682
2013-09-16,451487
2015-08-18,198014
2016-04-14,4227223
2013-06-02,263610
2012-07-28,191147
2014-08-15,1963125
2014-08-27,2266463
2016-02-01,2330286
2015-05-27,96520
2013-09-12,70968
2016-06-10,237033
2015-01-19,241884
2014-01-31,577295
2012-10-14,7303732
2013-01-30,102114
2011-12-01,160301
2014-07-25,522993
2016-04-05,472044
2011-04-07,2176858
2014-05-31,448307
2015-01-01,47329
2014-05-01,39040
2016-03-24,2055428
2016-03-17,31296
2013-07-23,29933
2013-10-10,14719724
2014-09-08,115654
2013-12-21,115150
2012-06-09,42347
2016-03-02,76514
2010-07-01,75926
2016-02-25,43730
2016-10-14,131309
2014-04-07,512554
2014-10-29,1587027
2014-12-22,8541144
2014-03-16,88684
2017-01-14,700720
2012-08-28,47096
2012-12-21,311989
2013-11-14,46758
2011-10-22,923721
2012-11-28,372421
2016-09-22,11316959
2013-04-27,987469
2017-04-06,3290231
2015-05-10,99308
2013-01-16,439639
2011-12-13,117823
2016-02-29,12467242
2017-01-12,1526956
2016-01-09,27862
2013-09-11,47737
2012-11-20,544334
2015-09-18,70433
2011-09-12,1150773
2016-05-18,515837
2014-07-13,38387
2016-12-09,46660
2012-10-20,357058
2013-09-12,118598
2012-11-09,151140
2011-01-16,364463
2013-01-18,735911
2013-05-01,11932846
2015-01-19,177888
2015-01-16,2368883
2015-05-18,306333
2017-05-11,83527
2016-04-18,36780
2015-02-25,224023
2016-08-14,303353
2012-07-30,627411
2013-05-08,105673
2016-03-19,451487
2014-10-16,429966
2011-10-28,247152
2015-09-09,31448
2014-02-13,1725854
2011-11-07,175359
2014-10-13,1156786
2012-03-25,76751
2015-03-12,91945
2011-09-21,103706
2012-03-10,673102
2013-09-05,704398
2017-03-30,6663019
2015-02-27,52876
2016-06-13,41235
2012-10-26,37990
2012-06-13,255791
2013-01-24,246324
2015-02-22,245466
2013-02-20,343701
2014-01-03,79205
2013-01-25,558999
2014-07-06,528529
2015-03-01,40472
2010-12-09,605197
2014-09-18,610273
2015-10-18,770850
2011-08-30,6590001
2015-04-26,78406
2017-03-10,26165
2015-01-06,79929
2014-02-13,465048
2016-05-12,1679408
