Global rank,Global rank preyear,Company,Country,Sector,Market value $m,Turnover $m,Net income $m,Total assets $m,Employees,Price $,P/e ratio,Dividend yield (%),Year End ,Country code,Sector code
268,179,Unicredit,Italy,Banks,39859.9,N/R,2427.9,1003528.2,129021,6.8,16.2,2.2,12/31/2014,21,4
269,150,Hyundai Motor,South Korea,Automobiles & parts,39832.1,81580.3,6715,133969.8,65340,151.9,6.2,1.8,12/31/2014,5,10
270,329,American Tower,US,Real estate investment trusts,39783.9,N/R,824.9,21078.4,2974,94.2,47.1,1.5,12/31/2014,0,28
271,206,Lukoil,Russia,Oil & gas producers,39581.6,81537.4,3151.2,111075,,46.5,11.5,5.5,12/31/2014,24,1
272,271,Takeda Pharmaceutical,Japan,Pharmaceuticals & biotechnology,39511.9,16392.6,1033.5,42255.4,31225,50,38.2,3.5,3/31/2014,4,5
273,90,Petrobras,Brazil,Oil & gas producers,39362.6,143351,-9175,298598,86111,3,,,12/31/2014,16,1
274,248,Jardine Strategic,Hong Kong,General industrials,39220.3,32243.5,1832.4,64518,,35,11.6,0.8,12/31/2014,3,8
275,,China Railway Group,China,Construction & materials,39130.2,95093.5,1653.5,109342.3,293592,1,12.8,1,12/31/2014,1,35
276,239,Kimberly-Clark,US,Personal goods,39116.6,19724,1526,15526,43000,107.1,26.5,3.1,12/31/2014,0,20
277,200,Societe Generale,France,Banks,38888.3,N/R,2754.5,1574349.7,148322,48.3,13.7,3,12/31/2014,8,4
278,209,Emerson Electric,US,Electronic & electrical equipment,38796.1,24537,2147,24177,115100,56.6,18.7,3,9/30/2014,0,34
279,231,Bank of Montreal,Canada,Banks,38775.5,N/R,3795,519644.2,47000,59.9,10.5,4.6,10/31/2014,17,4
280,294,Atlas Copco,Sweden,Industrial engineering,38718.3,12019.7,1560.7,13303.6,44056,29.6,23.1,2.6,12/31/2014,23,31
281,348,Cognizant Technology Solutions,US,Software & computer services,38034,10262.7,1439.3,11574.5,211500,62.4,26.5,,12/31/2014,0,3
282,221,Deutsche Post,Germany,Industrial transportation,37852.2,68476.4,2504.2,42596.1,488824,31.3,15.1,3.3,12/31/2014,9,26
283,254,Credit Agricole,France,Banks,37837.6,N/R,2562.3,1918232.4,72567,14.7,14.5,2.9,12/31/2014,8,4
284,395,Williams Cos.,US,Oil equipment & services,37836.1,7637,2114,50563,6742,50.6,17.3,3.9,12/31/2014,0,24
285,275,Linde,Germany,Chemicals,37787.2,20613.1,1332.5,41256.4,65591,203.4,28.3,1.9,12/31/2014,9,18
286,229,Wesfarmers,Australia,General retailers,37740.1,56774.8,2536.8,37062.4,203000,33.6,14.9,5.5,6/30/2014,13,7
287,352,Boc Hong Kong,Hong Kong,Banks,37706.1,N/R,3169.7,282341.1,14926,3.6,11.9,3.9,12/31/2014,3,4
288,498,Kroger,US,Food & drug retailers,37664.9,108465,1711,30556,400000,76.7,22,0.9,1/31/2015,0,21
289,,Hanergy Thin Film Power Group,Hong Kong,Alternative energy,37504.2,1240.1,426.6,3211.2,2033,0.9,,,12/31/2014,3,36
290,363,Carnival,US/UK,Travel & leisure,37364.6,15884,1236,39532,94100,47.8,30.1,2.1,11/30/2014,29,27
291,462,Central Japan Railway,Japan,Travel & leisure,37352.3,16013.2,2477.6,48517.3,28619,181.3,14.4,0.6,3/31/2014,4,27
292,303,Seven & I Holding,Japan,General retailers,37349.9,55304.5,1725.3,46925.3,55364,42.1,21.6,1.6,2/28/2014,4,7
293,196,Halliburton,US,Oil equipment & services,37283.6,32870,3500,32240,80000,43.9,10.7,1.4,12/31/2014,0,24
294,255,Munich Re,Germany,Nonlife insurance,37258.2,N/R,3812.6,305013.3,43316,215.4,9.7,4.4,12/31/2014,9,2
295,,Hermes International,France,Personal goods,37233.2,4980.2,1038.5,5359.6,11718,352.7,35.4,2.7,12/31/2014,8,20
296,252,Baxter International,US,Health care equipment & services,37231.9,16671,2497,25917,66000,68.5,15,3,12/31/2014,0,23
297,284,Qatar National Bank,Qatar,Banks,37184.6,N/R,2871.4,133577.9,,53.1,13,3.9,12/31/2014,30,4
298,407,Aetna,US,Health care equipment & services,37147,58003.2,2040.8,52959.1,48800,106.5,18.8,0.9,12/31/2014,0,23
299,,China State Construction Engineering,China,Construction & materials,37115.3,129852,3663,148133,238079,1.2,10.3,2.4,12/31/2014,1,35
300,408,Astellas Pharma,Japan,Pharmaceuticals & biotechnology,37074.9,11045.7,880.6,15577.4,17649,16.4,42.1,1.6,3/31/2014,4,5
